screen_name,id
RepMikeJohnson,827279765287559171
RepAnthonyBrown,823552974253342721
RepRaskin,806906355214852096
RepJackBergman,815241612154417152
RepPaulMitchell,811632636598910976
RepTedBudd,817138492614524928
RepDonBacon,818975124460335106
RepJoshG,815310506596691968
SenJackyRosen,818554054309715969
RepTomSuozzi,816705409486618624
RepEspaillat,817076257770835968
RepBrianFitz,816303263586914304
RepSmucker,41417564
RepJenniffer,819744763020775425
RepDavidKustoff,816012124505931780
RepGonzalez,818536152588238849
RepArrington,816284664658874368
RepMcEachin,816181091673448448
RepJayapal,815733290955112448
RepGallagher,815966620300480514
RepLizCheney,816719802328715264
RepRonEstes,854715071116849157
RepRalphNorman,880480631108644864
RepJimmyGomez,2371339658
RepJohnCurtis,931614483050414080
SenDougJones,941080085121175552
SenTinaSmith,941000686275387392
SenHydeSmith,983348251972816896
RepConorLamb,984456621417000960
RepDLesko,996094929733652481
RepCloudTX,1039879658400112640
RepBalderson,1037341536592310272
repkevinhern,1067818539179024386
RepJoeMorelle,1064595993222615040
RepMGS,1067541214671577093
RepSusanWild,1069636653353000962
RepEdCase,1081350574589833221
RepHorsford,389840566
RepKirkpatrick,1081240074946252801
RepGregStanton,1080885078425784320
RepJoshHarder,1080851152151953410
RepTjCox,1080875913926139910
RepGilCisneros,1080986167003230208
RepKatiePorter,1081222837459996672
RepHarley,1075080722241736704
RepMikeLevin,1072134139560620033
RepJoeNeguse,1078749802765139968
RepJasonCrow,1080191866509901826
RepJahanaHayes,1082086081238102018
RepMichaelWaltz,1082416697380913152
RepRossSpano,1090328229548826627
RepGregSteube,1083125649609506816
RepDMP,1080941062028447744
RepShalala,1060584809095925762
RepLucyMcBath,1082380458976051202
GuamCongressman,346509049
RepFinkenauer,1081256295469068288
RepCindyAxne,1080865917377097728
RepRussFulcher,1078741899572240384
RepChuyGarcia,1082427779583541248
RepCasten,1083472286089396224
RepUnderwood,1080539438508400642
RepJimBaird,1086316494450032640
RepGregPence,1082369392229400576
Rep_Watkins,1080307235350241280
RepDavids,1080516116395499522
RepLoriTrahan,1079802482640019456
RepPressley,1080584229510172678
RepDavidTrone,1080573351914061825
RepSlotkin,1078401427347857408
RepAndyLevin,1080277407867772930
RepHaleyStevens,1076161611033968640
RepRashida,1079769536730140672
RepHagedorn,1083474782602125318
RepAngieCraig,1080222360643485698
RepDeanPhillips,1061310112013434882
Ilhan,1082334352711790593
RepPeteStauber,1075830599007510535
RepMichaelGuest,1081243468327018496
RepArmstrongND,1080515866255593472
RepChrisPappas,1067748650485497862
CongressmanJVD,1083469084648505344
RepAndyKimNJ,1078771848882593793
RepMalinowski,1080898026418384897
RepSherrill,1080569698536878081
RepDebHaaland,1080695666760929280
RepTorresSmall,1080830346915209216
RepSusieLee,1079061579973439488
RepMaxRose,1078692057940742144
RepAOC,1079104563280527364
repdelgado,1080485692298444800
RepBrindisi,1080978331535896576
RepAGonzalez,1054381765224210432
RepKendraHorn,1083019402046513152
RepDean,567508925
RepHoulahan,1052896620797460481
RepMeuser,1080574793630527505
RepJohnJoyce,1082311988926124036
GReschenthaler,4205133682
RepCunningham,1080198683713507335
RepTimmons,1079770852302958592
RepDustyJohnson,1074782372594413569
RepTimBurchett,1028854804087492613
RepJohnRose,1081312310059253763
RepMarkGreen,1080477288955826176
RepDanCrenshaw,1080894931311431682
RepVanTaylor,1075040139351597056
Lancegooden,1029094268542099457
RepRonWright,1080854935535800320
RepFletcher,1075904377221722113
RepEscobar,1075517806551154689
